config,mpxi_windowed_active_mean,cnr_sector_mean,aperture_diam_mm
mobo_0176_ap0.7904_nap261_nd1_294_nd2_854,1.0889748549323015,1.635802408059438,0.7904441052249855
mobo_0177_ap0.3512_nap97_nd1_604_nd2_584,1.417220861043052,4.2204353014628095,0.3511869784608356
mobo_0178_ap0.3751_nap248_nd1_556_nd2_446,2.3172706245181187,3.2435104648272195,0.3751024916724536
mobo_0179_ap0.5992_nap163_nd1_200_nd2_302,1.3900808024519364,2.319960912068685,0.5991786390200458
mobo_0180_ap0.5298_nap79_nd1_660_nd2_372_d2_390_d3_520,1.1413683733574989,3.074130435784658,0.5297979712963587
mobo_0181_ap0.3755_nap238_nd1_530_nd2_430_d2_390_d3_520,2.2635673993386503,3.2264702518781028,0.3754500432171827
mobo_0182_ap0.3760_nap124_nd1_626_nd2_254_d2_421_d3_520,1.4929693961952026,3.8039337396621695,0.3760316545589619
mobo_0183_ap0.3290_nap202_nd1_642_nd2_578_d2_390_d3_520,1.949284511784512,4.414574821790059,0.3290091966576272
mobo_0184_ap0.3461_nap248_nd1_660_nd2_404_d2_390_d3_520,2.2421782178217824,3.0794848203659058,0.3460501397841262
mobo_0185_ap0.3663_nap121_nd1_630_nd2_250_d2_315_d3_520,1.4465301478953356,3.8463691075642905,0.3662880783433525
mobo_0186_ap0.3101_nap163_nd1_660_nd2_950_d2_376_d3_520,1.828786697843596,4.088024616241455,0.3101465758212153
mobo_0187_ap0.2990_nap179_nd1_660_nd2_180_d2_417_d3_544,1.809535512410912,4.143061280250549,0.2990261722086131
mobo_0188_ap0.3101_nap166_nd1_660_nd2_768_d2_398_d3_517,1.7721139430284858,4.2706418832143145,0.310079035367935
mobo_0189_ap0.2000_nap195_nd1_660_nd2_180_d2_447_d3_514,2.1811409527543617,3.441609183947245,0.2
mobo_0190_ap0.4671_nap72_nd1_660_nd2_914_d2_362_d3_640,1.189554254840162,3.2435897986094155,0.4670925938950501
mobo_0191_ap0.3031_nap182_nd1_622_nd2_180_d2_375_d3_471,1.8331764705882352,4.408968448638916,0.3030665503399476
mobo_0192_ap0.4066_nap204_nd1_660_nd2_960_d2_381_d3_391,2.009689495705792,3.334035436312357,0.4066229312803719
mobo_0193_ap0.4863_nap201_nd1_660_nd2_868_d2_343_d3_640,1.601439790575916,2.7798357804616294,0.4862894558879652
mobo_0194_ap0.2908_nap190_nd1_560_nd2_180_d2_364_d3_547,1.8290226596475163,3.970470984776815,0.2907855819858402
mobo_0195_ap0.3007_nap174_nd1_596_nd2_180_d2_392_d3_548,1.7542967804405714,4.135866602261861,0.3007416203839683
mobo_0196_ap0.2938_nap187_nd1_576_nd2_960_d2_405_d3_469,1.7526647813791605,4.6997246742248535,0.2938312399147308
mobo_0197_ap0.3522_nap147_nd1_660_nd2_180_d2_399_d3_424,1.7842753217683267,3.979107737541199,0.3522327761863181
mobo_0198_ap0.3881_nap207_nd1_660_nd2_180_d2_423_d3_499,2.0518487037824054,3.483590006828308,0.3880902787082568
mobo_0199_ap0.2000_nap167_nd1_660_nd2_960_d2_402_d3_484,1.9903725408120552,3.41744069258372,0.2
mobo_0200_ap0.3892_nap81_nd1_660_nd2_838_d2_331_d3_502,1.3061475409836063,3.7586810986200967,0.3891965419376058
mobo_0201_ap0.2276_nap108_nd1_660_nd2_180_d2_376_d3_618,1.4610994292580357,3.552398920059204,0.2275903770017149
mobo_0202_ap0.5443_nap195_nd1_660_nd2_180_d2_311_d3_524,1.522408963585434,2.3501202861468,0.544278201512114
mobo_0203_ap0.2841_nap192_nd1_482_nd2_960_d2_400_d3_460,1.9058697972251868,4.71494738260905,0.2840595358939357
mobo_0204_ap0.2000_nap211_nd1_556_nd2_180_d2_403_d3_585,2.6860854987426657,3.4226134220759072,0.2
